start_datetime,end_datetime,lat_start,lon_start,lat_end,lon_end,confirmed_kills,Notes
2/2/05 11:56,2/2/05 16:11,47 43.514,122 52.195,47 25.671,123 07.015,1,
2/17/05 11:20,2/17/05 17:15,47 41.976,122 52.666,47 37.336,122 57.341,2,
3/4/05 14:16,3/4/05 16:45,47 22.172,123 07.435,47 28.840,123 04.424,0,Possible additional kill just before we arrived - whales active and excited
3/9/05 11:35,3/9/05 17:15,47 48.963,122 48.980,47 28.001,123 04.133,1,Possible additional kill just before we arrived - whales active and excited
3/23/05 11:42,3/23/05 15:30,47 37.900,122 55.700,47 41.600,122 50.400,2,Possible additional kill - birds and spyhop but no slick or smell
3/25/05 9:45,3/25/05 16:55,,,,,2,
4/7/05 13:29,4/7/05 17:09,,,,,3,
4/22/05 11:22,4/22/05 16:29,,,,,1,
5/4/05 11:40,5/4/05 16:18,47 40.016,122 52.524,47 25.555,123 06.401,0,Possible additional kill before we arrived - whales active and excited
5/24/05 11:45,5/24/05 13:27,,,,,1,
5/27/05 13:48,5/27/05 16:43,,,,,1,
6/6/05 10:21,6/6/05 16:17,,,,,1,
6/19/05 15:55,6/19/05 19:05,,,,,2,
7/1/05 12:02,7/1/05 18:07,,,,,3,
